id,country_code_iso,company_code_uic,internal_id,decision_id,in_timetable,due_to_railway_features,line,metre_post_from,metre_post_to,station_from,station_to,on_main_track,main_track_side,station_track_switch_source_text,station_track_from,station_switch_from,station_switch_to,operating_speed,reduced_speed,reduced_speed_for_mus,not_signalled_from_start_point,not_signalled_from_end_point,cause_source_text,cause_category_1,cause_category_2,cause_category_3,time_from,work_to_be_done,time_to,comment
00140e79085665888ce197f558c162e9,HU,55,,Menetrendi segédkönyv mód.,1,0,269,250,450,Kecskemét alsó,Városföldi elágazás,1,,Kecskeméti deltavágány,,,,40,20,20,,,"Rálátási háromszög hiánya. Nem biztosított útátjárók (3+69, 4+53)",,,,2023-04-01 22:00:00,,,"Páratlan számú vonatok részére, lassúmenet előjelző csak 80 méterre"
00246981c76799b22598eda56fba7f75,HU,55,,40136/2022/MAV,1,0,62,69800,69690,Sellye,,0,,VI.vágány,6,,,40,10,10,,,Pályaállapot. Műszaki állapot,,,,2022-12-10 23:00:00,,,
00255f402f27a2d92a72c6f24969a666,HU,55,,Gy.1546-291/2004,1,0,116,26300,27200,Ófehértó,,0,,III. sz. vg.,3,,,40,20,20,,,Pályaállapot. Műszaki állapot,,,,2004-12-11 23:00:00,,,
0035e5fefa18e2f0eb61496d1c3ce0be,HU,55,,*,1,0,100,241600,241700,Hajdúhadház,,1,right,IV. jobb átmenő fővágány,4,,,120,100,100,,,Pályaállapot. műszaki állapot,,,,2017-12-09 23:00:00,,,
003fd8c4d06f69e80ea676d7ed988b66,HU,55,,42142/2017/MÁV,1,0,224,2300,3028,Ferencváros-Nyugati gurító,,0,,"""Régi"" Kihúzó I. sz. vágány",1,,,40,10,10,,,"Pályaállapot. Talpfák, vasbetonaljak, függőleges és vízszintes kapcsolószerek állapota, szennyezett ágyazat (kb. 65%)",,,,2017-12-09 23:00:00,,,753 sz. kitérő - földkúp
00527daa9de23b9b242d7fd1912b677c,HU,55,,Gy.2384-1032/2008,1,0,264i,250,350,Szolnok-Mozdonyüzemeltetési telephely,,0,,Fűtőház 218 sz. kitérő,218,,,40,0,0,,,"Kitérő állapota. fekszint-, irányhibák, avult keresztaljak, kapcsolószerek, a kitérő forgalomból kizárva",,,,2008-12-13 23:00:00,,,
00566bf7a751a4767062363582710df7,HU,55,,52487/2017/MAV,1,0,50,60102,60379,Bátaszék,,0,,Üzemi vágány,,,,40,5,5,,,Pályaállapot. Műszaki állapot.,,,,2017-12-09 23:00:00,,,"203.-208.sz.,kitérők között"
006274cdcf4a8a9db418ed966c0efdcc,HU,55,,41522/2019/MÁV,1,0,2,6386,6751,Angyalföld,,0,,IX. sz. csonka vágány,9,,,40,5,5,,,Pályaállapot. x,,,,2019-12-07 23:00:00,,,homlokrakodó - 9 sz. kitérő
00645ebdc9f391decc47b890a8e71769,HU,55,,Tel.Farkas Béla fpm.,0,0,100,64700,65300,Záhony,,0,,12. sz. kitérő,12,,,40,10,10,,,Pályahiba. műszaki áll.,,,,2008-07-04 06:30:00,,,
00686f0a4749f1ce4d9abffc283ce5c2,HU,55,,*,0,0,4001,9670,9930,Tuzsér (sz.),,0,,120. - 108. sz. kitérők közötti vágány,120,,,60,10,10,,,Pályahiba. Műszaki áll.,,,,2014-04-09 13:56:00,,,
006a43073b6bcdd1598ee2e6d647a030,HU,55,,59678-3/2015/MÁV,1,0,2,16400,16500,Pilisvörösvár,,0,,V. sz. csonka vágány,5,,,20,10,10,,,Pályaállapot. x,,,,2016-04-14 22:00:00,,,16 sz. kitérő -
006c533a6ee2bdde30e690c93e8d6359,HU,55,,HEG,1,0,1,78000,80300,Tatabánya,Tata,1,left,,,,,140,100,100,,,Geometria miatt. ív viszonyok,,,,2013-12-14 23:00:00,,,
00716e8bc949e35beb1ea66a1a77e6a4,HU,55,,Gy.635-2575/2003.,1,0,40e,33100,33200,Ercsi,,0,,15. sz. vágány,15,,,40,5,5,,,Pályaállapot. avult felépítmény,,,,2003-12-13 23:00:00,,,24 - 30 sz. kitérők között
009520414dae6bf6ab05794de9e9c7bd,HU,55,,34966/2022/MAV,1,0,100,64600,65900,Záhony,,0,,IV. vg.,4,,,60,40,40,,,Pályaállapot. Műszaki állapot,,,,2023-12-09 23:00:00,,,
00a63e67e7789979bd03078dbb8223a7,HU,55,,42142-5/2017/MÁV,1,0,4,20291,20305,Lábatlan,,0,,VII. sz. vágány,7,,,50,0,0,,,Pályaállapot. kizárva,,,,2018-03-20 23:00:00,,,21 - 21/1 sz. kitérők között
00a6750496905ebb139b020c8a31f2fa,HU,55,,41522/2019/MÁV,1,0,30,66250,66280,Székesfehérvár,,0,,"6 sz. kitérő ""K"" irány",6,,,40,10,10,,,Kitérő állapota. aljak rossz állaga,,,,2019-12-07 23:00:00,,,
00a9623754defa56cb4388a57c64ee28,HU,55,,34966/2022/MAV,1,0,140,67700,67800,Petőfiszállás,,0,,II. sz. átmenő fővágányban fekvő 2. és 4. kitérőre,2,,,100,60,60,,,Pályaállapot. Visszatérő fekszinthiba miatt,,,,2023-12-13 23:00:00,,,
